50.000000,0.000000
49.605735,6.266662
48.429158,12.434494
46.488824,18.406227
43.815334,24.087684
40.450850,29.389263
36.448432,34.227355
31.871199,38.525662
26.791340,42.216396
21.288965,45.241353
15.450850,47.552826
9.369066,49.114363
3.139526,49.901336
-3.139526,49.901336
-9.369066,49.114363
-15.450850,47.552826
-21.288965,45.241353
-26.791340,42.216396
-31.871199,38.525662
-36.448432,34.227355
-40.450850,29.389263
-43.815334,24.087684
-46.488824,18.406227
-48.429158,12.434494
-49.605735,6.266662
-50.000000,0.000000
-49.605735,-6.266662
-48.429158,-12.434494
-46.488824,-18.406227
-43.815334,-24.087684
-40.450850,-29.389263
-36.448432,-34.227355
-31.871199,-38.525662
-26.791340,-42.216396
-21.288965,-45.241353
-15.450850,-47.552826
-9.369066,-49.114363
-3.139526,-49.901336
3.139526,-49.901336
9.369066,-49.114363
15.450850,-47.552826
21.288965,-45.241353
26.791340,-42.216396
31.871199,-38.525662
36.448432,-34.227355
40.450850,-29.389263
43.815334,-24.087684
46.488824,-18.406227
48.429158,-12.434494
49.605735,-6.266662
